År,Myndighet,Anslagsnamn,Anslagspostsnamn,Utgiftsområdesnamn,Organisationsnummer,Total,,,Utfall januari,Utfall februari,Utfall mars,Utfall april,Utfall maj,Utfall juni,Utfall juli,Utfall augusti,Utfall september,Utfall oktober,Utfall november,Utfall december
2022,,Ålderspensionssystemet vid sidan av statens budget,"AP-fonderna, pensionsutgifter",Ålderspensionssystemet vid sidan av statens budget,,2.67513E+11,,,"28,603,765,692","2,863,311,995","28,604,901,725","28,633,829,412","28,693,990,387","2,873,964,356","2,876,228,858","28,809,660,861","28,882,424,709","28,893,921,976","28,883,854,056","28,893,574,788"
2022,,Ålderspensionssystemet vid sidan av statens budget,Administrationsutgifter,Ålderspensionssystemet vid sidan av statens budget,,1007173000,,,"83,931,082","83,931,082","83,931,082","83,931,082","83,931,082","83,931,082","83,931,082","83,931,082","83,931,082","83,931,082","83,931,082","83,931,098"
2022,,Ålderspensionssystemet vid sidan av statens budget,"AP-fonderna, pensionsutgifter",Ålderspensionssystemet vid sidan av statens budget,,0,,,"0,426306","0,080999",0,0,0,0,0,0,0,0,0,0
2022,,Ålderspensionssystemet vid sidan av statens budget,Administrationsutgifter,Ålderspensionssystemet vid sidan av statens budget,,1115,,,0,0,0,0,0,0,0,0,0,0,0,1115
2022,,Ålderspensionssystemet vid sidan av statens budget,Administrationsutgifter,Ålderspensionssystemet vid sidan av statens budget,,487,,,0,0,0,0,0,0,0,0,0,0,0,487
2022,,Ålderspensionssystemet vid sidan av statens budget,Administrationsutgifter,Ålderspensionssystemet vid sidan av statens budget,,257,,,0,0,0,0,0,0,0,0,0,0,0,257
2022,,Riksgäldskontorets nettoutlåning,,Riksgäldskontorets nettoutlåning,,-9.51712E+12,,,"485,678,183,581","-2,590,355,813,338","-3,230,990,544,514","-1,107,868,747,902","-343,009,155,163","-1,171,956,021,308","-1,129,219,663,586","-175,048,321,671","-997,997,203,722","-3,370,240,544,759","-905,188,182,773","5,019,071,641,899"
2022,,Kassamässig korrigering,,Kassamässig korrigering,,-4.53189E+11,,,"534,458,482,728","963,483,107,048","-299,482,289,184","-249,025,132,709","-953,584,439,929","859,873,806,949","80,819,942,984","-170,273,713,173","-105,613,465,374","147,320,492,491","-571,169,027,453","-689,996,461,259"
2022,Kammarkollegiet,Kungliga hov- och slottsstaten,Kungliga hovstaten,Rikets styrelse,2021000829,0,,,"76,07",0,0,0,0,0,0,0,0,0,0,0
2022,Kungliga hov- och slottsstaten,Kungliga hov- och slottsstaten,Kungliga slottsstaten,Rikets styrelse,2021003484,111087,,,"6,091","6,091","6,091","6,091","6,091","6,091","12,424","12,424","12,424","12,424","12,424","12,421"
